,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
1374,Max Kilman,eng ENG,DF,Wolves,eng Premier League,24,1997,29.9,50,26,38,10,2,24,37,64.9,13,36,21,15,45,95,113,3,1,13,4,30.8,0.44,0.13,0.08,0.25,9.4,0,0,0,1,1,0.08,0,0,10,0.33,7,0,1,1,0,1,2,0.07,1,0,0,1,0,0,1313,1535,85.5,23958,8631,537,588,91.3,626,692,90.5,131,210,62.4,0,0.2,0.4,-0.2,3,98,3,0,69,30,30,2687,1,3,0,0.03,0,0.03,0.03,0.03,1.2,0.03,0.01,0.04,0.03,0.04,1507,26,18,0,14,2,8,0,0,0,0,2,15,1842,205,922,845,92,22,1842,17,20,85,21,5,1215,6,0,17,11,0,26,0,1,0,155,66,39,62.9
1375,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26,1995,27.5,39,20,14,17,8,18,58,31,40,34,8,26,52,91,29,1,3,27,9,33.3,0.98,0.33,0.11,0.33,24.7,0,0,0,2.3,2.3,0.08,0.7,0.7,153,5.57,81,62,1,3,3,3,23,0.84,9,13,0,0,1,0,2177,2595,83.9,39188,13899,984,1080,91.1,893,999,89.4,250,406,61.6,9,10.2,10.6,-1.2,80,246,56,4,250,28,28,2474,3,4,0,0.11,0.33,0.44,0.11,0.44,12.5,0.08,0.37,0.45,0.08,0.45,2260,318,126,20,16,181,39,153,80,56,2,17,28,2876,69,552,1629,717,27,2876,21,41,51.2,32,18,1953,46,0,20,46,1,20,0,1,0,218,16,18,47.1
1376,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25,1995,28.6,34,19,18,15,1,14,23,60.9,9,20,14,6,38,72,73,1,1,7,1,14.3,0.24,0.03,0.14,1,9.7,0,0,0,1.3,1.3,0.18,-0.3,-0.3,18,0.63,17,0,0,1,0,0,3,0.1,3,0,0,0,0,0,2154,2254,95.6,35875,13217,976,1013,96.3,1019,1046,97.4,112,131,85.5,0,0.1,0.7,-0.1,2,133,6,2,117,30,29,2576,1,6,0,0.03,0,0.03,0.03,0.03,1.4,0.04,0,0.05,0.04,0.05,2170,84,55,0,11,2,25,1,0,0,0,0,8,2453,224,836,1539,90,12,2453,8,11,72.7,15,5,1937,7,0,28,26,0,19,0,2,0,138,49,20,71
1377,Joshua King,no NOR,FW,Watford,eng Premier League,29,1992,25,19,15,7,6,6,4,17,23.5,13,15,4,11,8,27,31,0,5,49,16,32.7,1.96,0.64,0.08,0.25,15.2,0,1,1,9.4,8.6,0.18,-4.4,-4.6,63,2.52,51,0,2,6,4,0,9,0.36,6,0,1,2,0,0,369,519,71.1,4984,1028,227,290,78.3,109,153,71.2,13,18,72.2,3,3.9,2.3,-0.9,35,29,17,4,27,32,27,2248,4,5,0,0.2,0.12,0.32,0.16,0.28,12.5,0.38,0.15,0.53,0.35,0.5,479,34,0,3,2,13,1,0,0,0,0,6,11,829,40,106,356,383,104,828,30,67,44.8,84,42,558,131,0,43,21,8,15,1,0,0,83,100,119,45.7
1378,Jakub Kiwior,pl POL,MF,Spezia,it Serie A,21,2000,21.8,50,27,25,19,6,26,57,45.6,31,38,15,23,40,90,53,0,0,8,4,50,0.37,0.18,0,0,14.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,15,0.69,13,0,0,1,1,0,1,0.05,1,0,0,0,0,0,539,695,77.6,10040,2898,217,264,82.2,232,279,83.2,75,115,65.2,0,1,0.2,-1,8,40,3,1,37,22,21,1964,0,6,0,0,0,0,0,0,1.4,0.02,0.04,0.07,0.02,0.07,672,23,23,0,6,7,0,0,0,0,0,0,14,936,95,362,496,90,16,936,9,14,64.3,14,9,465,6,0,27,5,2,27,0,1,0,102,29,32,47.5
1379,Sofian Kiyine,ma MAR,"MF,FW",Venezia,it Serie A,23,1997,13.8,24,14,9,11,4,12,32,37.5,20,15,1,14,10,34,9,0,1,20,5,25,1.45,0.36,0.05,0.2,27.5,2,0,1,1.7,0.8,0.04,-0.7,0.2,50,3.63,29,8,8,1,1,3,3,0.22,2,0,0,1,0,0,392,532,73.7,7832,2436,162,194,83.5,140,186,75.3,79,117,67.5,0,2.7,2.1,-2.7,19,44,22,3,58,26,14,1239,1,8,1,0.07,0,0.07,0.07,0.07,3.5,0.13,0.19,0.32,0.06,0.25,471,58,22,2,15,49,11,18,9,6,0,3,10,698,21,146,355,214,17,698,55,80,68.8,38,32,442,27,0,49,11,0,14,0,0,0,94,12,16,42.9
1380,Simon Kjær,dk DEN,DF,Milan,it Serie A,32,1989,8.9,20,12,9,8,3,6,12,50,6,17,13,4,9,29,39,0,0,5,1,20,0.56,0.11,0,0,9.2,0,0,0,0.6,0.6,0.13,-0.6,-0.6,7,0.78,6,0,0,0,0,1,1,0.11,1,0,0,0,0,0,404,463,87.3,8254,2970,130,142,91.5,213,225,94.7,57,80,71.3,0,0.4,0.6,-0.4,2,27,3,1,15,11,10,802,0,2,0,0,0,0,0,0,1,0.07,0.04,0.11,0.07,0.11,440,17,17,2,5,1,0,0,0,0,0,6,4,558,86,256,291,14,6,558,0,0,,2,1,368,0,0,20,5,0,12,0,0,1,46,13,14,48.1
1381,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,81.8,219,164,2,2,100,5,5,100,2,4,50,0,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,13,10,13,0,0,0,13,0,0,,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,100
1382,Philipp Klement,de GER,MF,Stuttgart,de Bundesliga,28,1992,3.8,7,3,1,4,2,3,3,100,0,6,1,5,1,8,0,0,1,6,2,33.3,1.6,0.53,0.17,0.5,22.8,2,0,0,0.3,0.3,0.05,0.7,0.7,19,5.06,13,6,0,0,0,0,1,0.27,0,1,0,0,0,0,215,266,80.8,3814,1206,99,111,89.2,84,98,85.7,25,40,62.5,0,1.1,1.1,-1.1,8,27,5,0,25,6,3,338,1,0,0,0.27,0,0.27,0.27,0.27,1.4,0.08,0.28,0.36,0.08,0.36,233,32,9,2,2,12,6,16,6,4,0,1,6,292,4,51,163,82,5,292,4,6,66.7,5,1,202,12,0,2,1,1,3,0,0,0,26,1,6,14.3
1383,Mateusz Klich,pl POL,MF,Leeds United,eng Premier League,31,1990,23,47,25,18,23,6,25,66,37.9,41,22,4,18,11,58,20,0,1,42,18,42.9,1.82,0.78,0.02,0.06,21.4,0,0,0,3.8,3.8,0.09,-2.8,-2.8,78,3.38,64,4,3,4,3,0,8,0.35,7,0,0,1,0,0,800,1026,78,11259,3630,453,514,88.1,240,314,76.4,38,84,45.2,2,2.3,2,-0.3,31,72,23,3,70,33,26,2073,1,5,0,0.04,0.09,0.13,0.04,0.13,6,0.16,0.1,0.26,0.16,0.26,977,43,19,6,7,30,13,3,0,0,0,6,16,1245,29,257,625,381,50,1245,20,35,57.1,39,22,829,106,0,40,15,2,25,0,1,0,171,7,13,35
1384,Thibault Klidje,tg TOG,"MF,FW",Bordeaux,fr Ligue 1,20,2001,1,0,0,0,0,0,0,1,0,1,1,1,0,2,2,0,0,0,1,0,0,1.05,0,0,,23.4,0,0,0,0,0,0.05,0,0,6,6.35,5,0,0,0,1,0,0,0,0,0,0,0,0,0,25,36,69.4,399,66,11,12,91.7,10,17,58.8,2,5,40,0,0.8,0.2,-0.8,4,1,3,0,3,5,0,86,0,0,0,0,0,0,0,0,0.8,0.05,0.81,0.86,0.05,0.86,34,2,0,0,0,6,2,0,0,0,0,0,0,45,0,1,12,32,6,45,4,6,66.7,3,3,34,10,0,3,5,1,0,0,0,0,2,1,4,20
1385,Mateo Klimowicz,de GER,"MF,FW",Stuttgart,de Bundesliga,21,2000,6.7,13,6,6,7,0,5,16,31.3,11,2,0,2,4,17,3,0,0,11,3,27.3,1.64,0.45,0,0,18.7,0,0,0,1.1,1.1,0.1,-1.1,-1.1,19,2.83,11,0,2,2,4,0,1,0.15,1,0,0,0,0,0,140,193,72.5,2099,583,75,90,83.3,47,58,81,10,16,62.5,1,0.5,0.6,0.5,4,17,8,0,16,15,7,603,0,2,0,0,0.15,0.15,0,0.15,1.6,0.17,0.07,0.24,0.17,0.24,186,6,0,2,4,2,4,1,0,0,0,1,11,265,2,38,128,107,17,265,10,21,47.6,17,7,185,24,0,9,9,1,6,0,0,0,21,2,4,33.3
1386,Fabian Klos,de GER,FW,Arminia,de Bundesliga,33,1987,15.8,7,5,0,5,2,2,10,20,8,17,4,13,0,7,31,0,3,37,13,35.1,2.35,0.82,0.03,0.08,16.8,0,2,2,5.1,3.5,0.1,-2.1,-2.5,27,1.71,25,0,1,1,0,0,2,0.13,2,0,0,0,0,0,232,467,49.7,3453,1178,136,234,58.1,62,147,42.2,21,36,58.3,1,1.3,1.1,-0.3,15,36,9,1,41,25,14,1420,1,2,1,0.19,0.06,0.25,0.06,0.13,4.8,0.32,0.08,0.41,0.22,0.31,437,24,1,0,4,11,8,0,0,0,0,6,12,631,37,65,309,260,70,629,9,17,52.9,38,14,450,66,0,30,18,3,5,0,0,0,38,114,107,51.6
1387,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,25,1996,18.3,29,16,11,15,3,13,19,68.4,6,16,3,13,26,55,58,0,0,6,1,16.7,0.33,0.05,0,0,15.8,0,0,0,0.7,0.7,0.11,-0.7,-0.7,12,0.66,12,0,0,0,0,0,1,0.05,1,0,0,0,0,0,944,1100,85.8,15274,5600,462,511,90.4,409,460,88.9,57,92,62,1,1,0.8,0,4,51,10,0,60,23,17,1648,0,1,0,0,0.05,0.05,0,0.05,1.7,0.04,0.05,0.09,0.04,0.09,1027,72,19,3,1,3,52,0,0,0,0,1,16,1266,120,515,618,142,22,1266,3,5,60,10,4,806,15,0,9,4,0,16,0,0,0,101,23,11,67.6
1388,Justin Kluivert,nl NED,MF,Nice,fr Ligue 1,22,1999,20.8,19,9,6,12,1,5,21,23.8,16,13,1,12,14,33,6,0,4,30,10,33.3,1.45,0.48,0.13,0.4,18.6,2,0,0,3.7,3.7,0.12,0.3,0.3,64,3.06,34,22,5,2,1,0,8,0.38,3,3,2,0,0,0,423,665,63.6,7267,2149,222,278,79.9,129,194,66.5,56,142,39.4,5,5.1,4.8,-0.1,35,27,24,12,37,27,24,1868,4,6,1,0.19,0.24,0.43,0.19,0.43,8.8,0.18,0.24,0.42,0.18,0.42,528,132,35,5,9,161,14,83,33,39,0,5,17,882,15,92,320,489,56,882,41,80,51.3,50,35,557,94,0,39,28,5,9,0,1,0,95,14,12,53.8
1389,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,25,1996,2.2,1,1,1,0,0,1,5,20,4,1,0,1,2,3,2,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,4,1.86,3,0,1,0,0,0,0,0,0,0,0,0,0,0,67,96,69.8,1045,437,37,49,75.5,24,32,75,5,11,45.5,0,0.4,0.3,-0.4,2,3,5,2,10,5,2,194,0,1,0,0,0,0,0,0,0.4,0,0.19,0.19,0,0.19,73,22,5,0,0,4,17,0,0,0,0,1,2,107,4,33,58,18,2,107,3,6,50,4,2,58,5,0,5,2,0,1,0,0,0,12,2,2,50
1390,Ansgar Knauff,de GER,"FW,MF",Dortmund,de Bundesliga,19,2002,1.3,3,1,1,1,1,0,4,0,4,2,0,2,0,3,4,0,0,1,0,0,0.79,0,0,,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,3,2.37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,50,216,35,13,21,61.9,3,7,42.9,1,4,25,0,0.1,0.1,-0.1,1,0,2,0,2,5,0,114,0,0,0,0,0,0,0,0,0.2,0.05,0.08,0.12,0.05,0.12,36,0,0,0,0,0,0,0,0,0,0,0,1,69,3,15,19,35,6,69,4,13,30.8,6,0,41,8,0,4,1,1,1,0,0,0,3,3,2,60
1391,Ansgar Knauff,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,19,2002,8.4,18,14,8,5,5,8,15,53.3,7,11,1,10,8,26,6,0,1,12,4,33.3,1.42,0.47,0.08,0.25,19.5,0,0,0,0.7,0.7,0.06,0.3,0.3,23,2.73,16,1,2,1,3,0,3,0.36,2,0,1,0,0,0,213,341,62.5,3252,1276,106,154,68.8,88,121,72.7,10,26,38.5,1,1.3,1.7,-0.3,10,19,5,3,24,12,8,759,1,0,0,0.12,0.12,0.24,0.12,0.24,2,0.09,0.15,0.24,0.09,0.24,266,71,0,1,1,21,70,1,0,0,0,4,14,437,11,84,205,160,30,437,18,27,66.7,16,8,244,31,0,11,8,1,14,0,0,0,45,7,17,29.2
1392,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,29,1992,33,50,24,38,12,0,30,53,56.6,23,45,26,19,49,99,151,1,0,10,3,30,0.3,0.09,0,0,12.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,19,0.58,17,0,0,0,2,0,0,0,0,0,0,0,0,0,1353,1725,78.4,29713,12134,318,374,85,774,905,85.5,243,403,60.3,0,0.2,0.5,-0.2,3,78,3,0,86,33,33,2970,0,6,0,0,0,0,0,0,0.8,0.02,0.01,0.02,0.02,0.02,1682,37,32,2,2,0,5,0,0,0,0,6,12,2077,229,1120,929,45,19,2077,14,15,93.3,16,5,1187,3,0,26,13,1,24,0,0,0,247,63,55,53.4
1393,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,28.5,0,0,0,0,0,0,2,0,2,0,0,0,1,1,20,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,4,0.14,2,2,0,0,0,0,1,0.04,1,0,0,0,0,0,840,1024,82,19421,12069,215,215,100,444,448,99.1,173,349,49.6,0,0,0,0,0,7,0,0,1,29,29,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,237,52,0,0,0,0,0,0,0,0,3,0,1104,937,1099,5,0,0,1104,0,0,,2,0,560,0,0,1,6,0,0,0,1,0,71,3,0,100
1394,Robin Koch,de GER,"MF,DF",Leeds United,eng Premier League,25,1996,17.5,21,13,9,10,2,9,34,26.5,25,26,10,16,20,41,44,0,0,13,1,7.7,0.74,0.06,0,0,16.1,0,0,0,1,1,0.08,-1,-1,24,1.37,21,1,0,1,1,0,2,0.11,2,0,0,0,0,0,555,718,77.3,10037,3504,224,279,80.3,268,326,82.2,45,73,61.6,0,0.4,0.3,-0.4,5,47,6,0,44,20,17,1574,0,3,0,0,0,0,0,0,1.5,0.06,0.02,0.08,0.06,0.08,693,24,9,0,5,4,15,0,0,0,0,1,10,885,118,397,405,88,18,885,5,8,62.5,16,6,517,13,0,22,10,0,13,0,0,0,104,45,44,50.6
1395,Samuel Koeberlé,fr FRA,FW,Reims,fr Ligue 1,16,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,23,2,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,
1396,Philippe Koffi,fr FRA,FW,Reims,fr Ligue 1,19,2002,4.2,4,0,0,3,1,0,2,0,2,2,1,1,3,7,3,0,1,9,2,22.2,2.16,0.48,0.11,0.5,14,0,0,0,1,1,0.12,0,0,11,2.63,5,0,1,2,3,0,2,0.48,1,0,0,1,0,0,46,74,62.2,632,86,26,37,70.3,13,21,61.9,2,4,50,0,0.2,0.3,-0.2,4,3,1,0,1,10,3,375,1,1,0,0.24,0,0.24,0.24,0.24,1.2,0.24,0.04,0.28,0.24,0.28,67,7,0,0,0,3,0,0,0,0,0,0,4,133,5,13,54,66,24,133,5,7,71.4,22,3,100,32,0,8,13,7,0,0,0,0,7,6,16,27.3
1397,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,27,1994,17.9,40,20,18,19,3,16,42,38.1,26,21,2,19,35,75,22,0,0,18,2,11.1,1,0.11,0,0,20.6,0,0,0,1.6,1.6,0.09,-1.6,-1.6,46,2.57,36,1,1,4,2,2,10,0.56,8,0,0,1,1,0,621,840,73.9,9904,3316,318,389,81.7,239,315,75.9,45,79,57,3,1.2,1.2,1.8,10,65,14,1,79,22,19,1614,0,10,2,0,0.17,0.17,0,0.17,2.8,0.09,0.07,0.16,0.09,0.16,808,28,27,2,5,2,1,0,0,0,0,4,16,1019,37,235,637,164,19,1019,9,15,60,16,13,592,26,2,46,20,0,20,0,0,0,149,26,18,59.1
1398,Koba Koindredi,fr FRA,MF,Valencia,es La Liga,19,2001,2,4,3,2,1,1,2,6,33.3,4,3,0,3,4,8,5,0,0,1,0,0,0.5,0,0,,32.8,0,0,0,0,0,0.02,0,0,4,1.98,3,0,0,0,1,0,0,0,0,0,0,0,0,0,30,47,63.8,564,183,14,16,87.5,14,19,73.7,2,6,33.3,0,0.2,0.1,-0.2,2,3,3,0,4,10,1,181,0,1,0,0,0,0,0,0,0.2,0.01,0.08,0.09,0.01,0.09,45,2,0,0,0,2,1,1,1,0,0,0,3,76,5,22,37,17,2,76,2,3,66.7,6,3,42,3,0,8,6,0,3,0,0,0,8,5,7,41.7
1399,Koke,es ESP,MF,Atlético Madrid,es La Liga,29,1992,27.9,55,30,19,29,7,26,63,41.3,37,21,5,16,24,79,31,1,1,12,6,50,0.43,0.22,0.08,0.17,26.2,0,0,0,1.1,1.1,0.1,-0.1,-0.1,67,2.4,59,2,1,2,3,0,11,0.39,11,0,0,0,0,0,1505,1772,84.9,23282,7036,814,869,93.7,504,576,87.5,112,196,57.1,2,1.8,1.9,0.2,26,149,26,3,119,31,29,2508,1,6,0,0.04,0.07,0.11,0.04,0.11,3,0.04,0.07,0.11,0.04,0.11,1715,51,36,7,13,33,8,7,0,6,0,6,28,1987,47,384,1190,421,27,1987,13,18,72.2,25,32,1498,40,0,29,27,0,30,0,0,0,169,12,26,31.6
1400,Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,it Serie A,30,1991,0.6,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,62.5,225,30,9,15,60,5,6,83.3,1,2,50,0,0,0,0,0,1,0,0,1,6,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,1,33,0,2,18,13,1,33,0,0,,5,0,25,7,0,2,2,0,1,0,0,0,1,5,5,50
1401,Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,35,1985,0.5,1,1,1,0,0,1,1,100,0,0,0,0,1,2,2,0,0,1,0,0,2.14,0,0,,37.8,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,81.6,555,273,15,18,83.3,12,14,85.7,4,6,66.7,0,0,0,0,0,4,1,0,2,3,0,42,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,36,2,2,0,0,0,0,0,0,0,0,0,0,44,5,15,23,6,0,44,1,2,50,0,0,37,0,0,0,1,0,1,0,0,0,5,1,2,33.3
1402,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,28,1993,1,0,0,0,0,0,0,0,,0,0,0,0,4,4,1,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,81.3,215,49,5,6,83.3,7,9,77.8,0,0,,0,0,0,0,0,1,0,0,0,2,1,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,2,0,0,0,0,0,0,23,2,13,10,0,0,23,0,0,,0,0,10,0,0,2,0,0,0,0,0,0,2,0,0,
1403,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,28,1993,4.9,7,6,2,3,2,5,8,62.5,3,4,0,4,0,7,7,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,1.43,6,1,0,0,0,0,1,0.2,1,0,0,0,0,0,195,251,77.7,2707,702,107,131,81.7,69,85,81.2,7,16,43.8,1,0.2,0.5,0.8,4,10,4,0,10,14,6,440,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0.04,0.04,0,0.04,218,31,2,0,1,7,29,0,0,0,0,2,7,285,10,63,128,98,8,285,0,1,0,15,2,184,18,0,7,3,0,6,0,0,0,22,5,0,100
1404,Luca Koleosho,ca CAN,FW,Espanyol,es La Liga,16,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,13,5,1,1,100,0,0,,0,0,,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,2,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
1405,Randal Kolo Muani,fr FRA,"FW,MF",Nantes,fr Ligue 1,22,1998,32.8,28,14,7,10,11,10,25,40,15,14,3,11,6,34,31,0,12,54,26,48.1,1.65,0.79,0.22,0.46,11.7,0,0,0,11.1,11.1,0.21,0.9,0.9,82,2.5,53,0,8,7,13,1,13,0.4,7,0,3,1,2,0,368,547,67.3,4703,777,226,287,78.7,101,154,65.6,10,21,47.6,4,4.9,3.3,-0.9,40,16,12,6,20,36,34,2948,12,2,0,0.37,0.12,0.49,0.37,0.49,16,0.34,0.15,0.49,0.34,0.49,530,14,0,0,0,31,5,0,0,0,0,3,22,937,37,88,376,496,150,937,60,120,50,110,73,719,176,0,59,72,18,14,1,1,0,107,66,110,37.5
1406,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29,1991,28.5,43,24,22,14,7,20,36,55.6,16,29,7,22,60,103,72,1,2,15,6,40,0.53,0.21,0.13,0.33,12.7,0,0,0,1.7,1.7,0.11,0.3,0.3,36,1.26,32,1,0,2,0,1,4,0.14,3,0,0,1,0,0,1230,1589,77.4,21368,8858,554,630,87.9,545,678,80.4,111,209,53.1,3,1.6,2.4,1.4,22,68,18,10,94,30,30,2565,2,4,1,0.07,0.11,0.18,0.07,0.18,3.3,0.06,0.06,0.11,0.06,0.11,1360,224,55,2,8,38,169,0,0,0,0,5,27,1855,154,739,864,263,26,1855,5,7,71.4,21,2,1052,29,0,29,3,2,24,0,3,2,148,31,38,44.9
1407,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,25,1995,26.9,35,19,19,15,1,16,30,53.3,14,35,8,27,28,63,45,0,1,19,5,26.3,0.71,0.19,0.05,0.2,24.1,1,0,0,1,1,0.05,0,0,54,2.01,46,2,3,1,2,0,6,0.22,5,0,1,0,0,0,978,1296,75.5,15988,6754,506,581,87.1,364,469,77.6,87,168,51.8,3,3.5,2.5,-0.5,31,64,24,12,105,28,28,2418,1,1,0,0.04,0.11,0.15,0.04,0.15,4.5,0.04,0.13,0.17,0.04,0.17,1008,279,6,0,5,84,272,1,0,1,0,9,23,1575,89,500,708,396,23,1575,39,82,47.6,44,20,872,55,0,17,33,2,19,0,0,0,176,13,11,54.2
1408,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,22,1999,11,16,10,9,6,1,7,10,70,3,13,9,4,16,32,37,1,0,4,0,0,0.36,0,0,,11.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,6,0.55,5,0,0,0,0,1,3,0.27,3,0,0,0,0,0,663,754,87.9,12042,5092,237,257,92.2,379,410,92.4,38,67,56.7,0,0,0.2,0,0,47,5,0,38,11,11,990,0,2,0,0,0,0,0,0,0.3,0.02,0,0.02,0.02,0.02,745,7,5,2,1,0,2,0,0,0,0,2,1,849,70,341,491,19,5,849,2,3,66.7,4,1,578,2,0,10,3,0,10,0,0,0,64,34,19,64.2
1409,Geoffrey Kondogbia,cf CTA,"MF,DF",Atlético Madrid,es La Liga,28,1993,20.9,74,44,25,40,9,21,49,42.9,28,16,5,11,44,118,24,0,1,15,1,6.7,0.72,0.05,0.07,1,25.4,0,0,0,0.6,0.6,0.04,0.4,0.4,25,1.2,20,0,2,0,0,3,4,0.19,3,0,0,0,0,1,854,999,85.5,14466,4061,413,459,90,305,345,88.4,92,123,74.8,2,1.1,0.7,0.9,11,65,10,0,60,28,21,1882,1,13,2,0.05,0.1,0.14,0.05,0.14,1.7,0.03,0.05,0.08,0.03,0.08,984,10,10,2,24,1,0,0,0,0,0,5,11,1229,53,313,780,149,6,1229,29,33,87.9,29,26,751,5,2,40,37,0,44,0,0,0,188,38,21,64.4
1410,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,22,1999,8.1,7,4,0,3,4,2,3,66.7,1,8,3,5,1,8,3,0,5,15,8,53.3,1.84,0.98,0.33,0.63,14.9,0,0,0,2.9,2.9,0.2,2.1,2.1,27,3.32,17,0,3,3,3,1,3,0.37,2,0,1,0,0,0,91,136,66.9,1149,282,60,76,78.9,24,37,64.9,1,7,14.3,1,2,0.8,-1,14,5,6,1,11,16,6,732,5,2,0,0.61,0.12,0.74,0.61,0.74,4.9,0.36,0.25,0.61,0.36,0.61,123,11,0,1,0,4,2,0,0,0,0,2,2,214,6,15,98,102,27,214,9,13,69.2,26,19,159,49,0,13,10,5,4,0,0,0,20,16,35,31.4
